# paso_L0	Cd	Cl	mismatch
100	0.54387	0.02746	0.00404
200	1.21745	0.06014	0.00281
300	1.31236	0.07151	0.00306
400	1.40194	0.07436	0.00430
500	1.42270	0.07518	0.01291
600	1.44023	0.07704	0.04551
700	1.36335	0.07581	0.10858
800	1.33039	0.07598	0.16782
900	1.30207	0.07544	0.19797
1000	1.27176	0.06562	0.20736
1100	1.23835	0.06556	0.20817
1200	1.21845	0.06632	0.20691
1300	1.28574	0.06836	0.20376
1400	1.18297	0.06587	0.20106
1500	1.15377	0.05439	0.19831
1600	1.15828	0.05812	0.19414
1700	1.14982	0.05546	0.18977
1800	1.32962	0.05067	0.18697
1900	1.13552	0.04411	0.18395
2000	1.13115	0.04662	0.18027
2100	1.11217	0.04898	0.17681
2200	1.12768	0.04107	0.17289
2300	1.10512	0.03604	0.16815
2400	1.08972	0.03978	0.16627
2500	1.08918	0.04200	0.16404
2600	1.08384	0.04175	0.16410
2700	1.07352	0.04463	0.16308
2800	1.06542	0.04087	0.16005
2900	1.06633	0.04790	0.15762
3000	1.06364	0.04876	0.15411
3100	1.06611	0.05607	0.15477
3200	1.05286	0.06127	0.15341
3300	1.04377	0.07070	0.15275
3400	1.04218	0.06840	0.15258
3500	1.03521	0.07582	0.15246
3600	1.02280	0.07473	0.15084
3700	1.03225	0.07427	0.15118
3800	1.02490	0.07376	0.15095
3900	1.02160	0.06963	0.14856
4000	1.02142	0.06672	0.14601
4100	1.01658	0.05954	0.14600
4200	1.01480	0.05217	0.14743
4300	1.01358	0.04288	0.15116
4400	1.01783	0.03431	0.15121
4500	1.01042	0.03081	0.15060
4600	1.00424	0.02670	0.14792
4700	1.01374	0.01701	0.15015
4800	1.00637	0.01054	0.15254
4900	1.00029	0.01022	0.15358
5000	0.99976	0.00423	0.15396
5100	1.00370	0.00698	0.15547
5200	0.99913	0.00905	0.15678
5300	1.00615	0.01190	0.15726
5400	1.00345	0.01988	0.15589
5500	0.99685	0.03459	0.16052
5600	0.99779	0.04705	0.16450
5700	0.99410	0.06452	0.16143
5800	0.99752	0.08138	0.16135
5900	0.98863	0.09994	0.16202
6000	0.99017	0.11827	0.16436
6100	0.99364	0.13206	0.16961
6200	0.98770	0.14085	0.17232
6300	0.99730	0.14364	0.16823
6400	0.99426	0.14419	0.17029
6500	0.99242	0.14718	0.17112
6600	1.00219	0.13686	0.17264
6700	1.00721	0.12701	0.17355
6800	0.99965	0.10095	0.17202
6900	1.00826	0.07548	0.17341
7000	1.01206	0.05145	0.18245
7100	1.01070	0.01532	0.18827
7200	1.02016	-0.01280	0.18234
7300	1.02961	-0.04462	0.18857
7400	1.02947	-0.07458	0.18665
7500	1.04245	-0.09431	0.18633
7600	1.04975	-0.10433	0.17961
7700	1.06571	-0.10592	0.16929
7800	1.06854	-0.09608	0.16499
7900	1.07486	-0.06911	0.16112
8000	1.08765	-0.02806	0.15746
8100	1.09330	0.02074	0.16321
8200	1.10640	0.07610	0.17266
8300	1.11081	0.15335	0.18239
8400	1.12296	0.20687	0.17977
8500	1.14053	0.26356	0.15917
8600	1.15165	0.28746	0.12435
8700	1.17265	0.29608	0.08436
8800	1.18633	0.25844	0.06765
8900	1.20486	0.20538	0.07455
9000	1.21582	0.12121	0.08652
9100	1.21781	0.02532	0.10643
9200	1.23323	-0.07258	0.13864
9300	1.24882	-0.15174	0.16770
9400	1.26107	-0.20486	0.18925
9500	1.28305	-0.21204	0.17622
9600	1.28627	-0.18441	0.14561
9700	1.27896	-0.12088	0.10824
9800	1.27379	-0.02356	0.08909
9900	1.26706	0.09307	0.07413
10000	1.26012	0.20395	0.06646
10100	1.25464	0.29923	0.06355
10200	1.25948	0.36215	0.10915
10300	1.27560	0.39197	0.18310
10400	1.27989	0.35849	0.15864
10500	1.28409	0.29071	0.11843
10600	1.27280	0.18760	0.09209
10700	1.27368	0.04591	0.08421
10800	1.28314	-0.08756	0.09397
10900	1.29295	-0.20749	0.11714
11000	1.31180	-0.29677	0.14767
11100	1.32938	-0.33329	0.18163
11200	1.34151	-0.31150	0.18628
11300	1.32926	-0.23282	0.15920
11400	1.32844	-0.11147	0.12486
11500	1.29933	0.05363	0.11094
11600	1.28841	0.21714	0.11205
11700	1.28913	0.37614	0.12362
11800	1.30358	0.49839	0.14548
11900	1.32616	0.55609	0.17763
12000	1.33541	0.53902	0.19083
12100	1.33663	0.45846	0.14984
12200	1.33542	0.31109	0.09802
12300	1.32927	0.13080	0.07835
12400	1.32636	-0.08221	0.08245
12500	1.34833	-0.27184	0.09966
12600	1.38340	-0.41585	0.12446
12700	1.40465	-0.49178	0.15785
12800	1.41966	-0.48001	0.19131
12900	1.42087	-0.39064	0.17150
13000	1.39346	-0.23620	0.13705
13100	1.35964	-0.03663	0.10414
13200	1.33356	0.18775	0.09256
13300	1.33261	0.40870	0.10259
13400	1.34771	0.58549	0.12564
13500	1.37467	0.68536	0.15829
13600	1.39158	0.68819	0.18300
13700	1.39104	0.59818	0.14770
13800	1.38597	0.42850	0.09975
13900	1.36237	0.21756	0.07701
14000	1.35928	-0.02161	0.07633
14100	1.37555	-0.26807	0.08838
14200	1.41026	-0.45848	0.11095
14300	1.44931	-0.56456	0.14512
14400	1.47164	-0.58081	0.18913
14500	1.46698	-0.49683	0.18411
14600	1.44211	-0.33827	0.14692
14700	1.39415	-0.11892	0.10986
14800	1.36284	0.13643	0.09581
14900	1.35425	0.39072	0.09835
15000	1.36334	0.59481	0.11643
15100	1.38843	0.72609	0.14696
15200	1.41912	0.75450	0.18350
15300	1.42419	0.67658	0.17559
15400	1.41086	0.51416	0.10755
15500	1.39395	0.29229	0.07641
15600	1.38084	0.02544	0.07379
15700	1.39245	-0.23141	0.08452
15800	1.42658	-0.45574	0.10413
15900	1.47013	-0.59012	0.13679
16000	1.50111	-0.62252	0.18232
16100	1.49005	-0.55878	0.19525
16200	1.46230	-0.39983	0.15527
16300	1.41914	-0.18074	0.11512
16400	1.37493	0.07877	0.09934
16500	1.35910	0.35040	0.09715
16600	1.36326	0.57720	0.11140
16700	1.39566	0.72973	0.13841
16800	1.42143	0.78687	0.17812
16900	1.42994	0.72359	0.18746
17000	1.42139	0.56909	0.12574
17100	1.40594	0.35247	0.08745
17200	1.38817	0.08530	0.07283
17300	1.39026	-0.19312	0.07757
17400	1.42226	-0.42465	0.09806
17500	1.46619	-0.58550	0.12853
17600	1.50021	-0.63887	0.17226
17700	1.50580	-0.59573	0.19945
17800	1.47931	-0.44937	0.16145
17900	1.43068	-0.23024	0.11765
18000	1.39018	0.02373	0.09841
18100	1.36218	0.29779	0.09391
18200	1.37330	0.54240	0.10724
18300	1.39396	0.71881	0.13289
18400	1.42425	0.78986	0.16888
18500	1.43478	0.75474	0.19665
18600	1.43092	0.61522	0.13928
18700	1.40297	0.40456	0.09112
18800	1.37937	0.14746	0.07416
18900	1.39089	-0.13483	0.07485
19000	1.41967	-0.38139	0.09393
19100	1.45856	-0.56368	0.12229
19200	1.49440	-0.63803	0.16206
19300	1.50613	-0.61422	0.19733
19400	1.49117	-0.48393	0.16814
19500	1.45417	-0.28409	0.12120
19600	1.40072	-0.03238	0.09876
19700	1.36965	0.24975	0.08995
19800	1.36653	0.49938	0.10237
19900	1.39361	0.69248	0.12774
20000	1.42402	0.78356	0.16027
20100	1.43875	0.77255	0.19133
20200	1.43212	0.65054	0.14833
20300	1.41670	0.45615	0.08972
20400	1.39817	0.19988	0.07405
20500	1.38009	-0.07994	0.07511
20600	1.41877	-0.34154	0.08943
20700	1.45420	-0.53341	0.11590
20800	1.49580	-0.63821	0.15067
20900	1.51159	-0.62931	0.19350
21000	1.49682	-0.52432	0.17839
21100	1.45462	-0.33013	0.13106
21200	1.40403	-0.08851	0.10602
21300	1.37077	0.19094	0.08892
21400	1.36810	0.45179	0.09840
21500	1.38126	0.66595	0.12074
21600	1.42481	0.78078	0.15217
21700	1.43139	0.78611	0.18841
