# paso_L0	Cd	Cl	mismatch
100	1.44969	0.05740	0.00000
200	0.54023	0.02705	0.00000
300	1.11968	0.05781	0.00000
400	1.18572	0.05909	0.00000
500	1.25470	0.06753	0.00000
600	1.31397	0.06669	0.00000
700	1.36746	0.06515	0.00000
800	1.40758	0.07296	0.00000
900	1.08436	0.02483	0.00000
1000	1.40303	0.07266	0.00000
1100	1.49123	0.08048	0.00000
1200	1.43823	0.07282	0.00000
1300	1.39350	0.07497	0.00000
1400	1.38060	0.07376	0.00000
1500	1.36663	0.07472	0.00000
1600	1.34983	0.07208	0.00000
1700	1.33206	0.06926	0.00000
1800	1.32059	0.07858	0.00000
1900	1.30705	0.06857	0.00000
2000	1.28280	0.06469	0.00000
2100	1.27181	0.06202	0.00000
2200	1.26342	0.06767	0.00000
2300	1.25053	0.05923	0.00000
2400	1.24016	0.06073	0.00000
2500	1.23066	0.06140	0.00000
2600	1.26175	0.06392	0.00000
2700	0.92582	0.05508	0.00000
2800	1.15556	0.05951	0.00000
2900	1.27034	0.06013	0.00000
3000	1.16346	0.05196	0.00000
3100	1.18152	0.05997	0.00000
3200	1.17703	0.05493	0.00000
3300	1.17351	0.05403	0.00000
3400	1.16974	0.05143	0.00000
3500	1.09138	0.04863	0.00000
3600	1.33268	0.05251	0.00000
3700	1.02883	0.05176	0.00000
3800	1.14502	0.04963	0.00000
3900	1.15138	0.04865	0.00000
4000	1.14591	0.04457	0.00000
4100	1.13441	0.04651	0.00000
4200	1.13045	0.04956	0.00000
4300	1.12542	0.04635	0.00000
4400	1.13143	0.05113	0.00000
4500	1.08348	0.04907	0.00000
4600	1.12516	0.04736	0.00000
4700	1.11122	0.04909	0.00000
4800	1.10791	0.04925	0.00000
4900	1.10722	0.04985	0.00000
5000	1.10758	0.04754	0.00000
5100	1.09891	0.05230	0.00000
5200	1.10008	0.05226	0.00000
5300	1.09464	0.05031	0.00000
5400	1.08992	0.05891	0.00000
5500	1.09540	0.05476	0.00000
5600	1.08489	0.06043	0.00000
5700	1.08555	0.05722	0.00000
5800	1.08672	0.05966	0.00000
5900	1.08142	0.05774	0.00000
6000	1.07145	0.05163	0.00000
6100	1.07587	0.06650	0.00000
6200	1.07776	0.06499	0.00000
6300	1.06239	0.06267	0.00000
6400	1.06877	0.06228	0.00000
6500	1.06722	0.06808	0.00000
6600	1.06556	0.05986	0.00000
6700	1.06336	0.06438	0.00000
6800	1.05994	0.06796	0.00000
6900	1.05844	0.06317	0.00000
7000	1.05652	0.06465	0.00000
7100	1.05427	0.06061	0.00000
7200	1.06342	0.06309	0.00000
7300	1.05112	0.06032	0.00000
7400	1.04998	0.05904	0.00000
7500	1.04756	0.05584	0.00000
7600	1.04979	0.06281	0.00000
7700	1.04702	0.05442	0.00000
7800	1.04122	0.05466	0.00000
7900	1.04609	0.05015	0.00000
8000	1.04056	0.04657	0.00000
8100	1.04255	0.04401	0.00000
8200	1.03855	0.04290	0.00000
8300	1.04263	0.04151	0.00000
8400	1.03903	0.03597	0.00000
8500	1.03592	0.03315	0.00000
8600	1.03809	0.03826	0.00000
8700	1.03276	0.03514	0.00000
8800	1.03419	0.03029	0.00000
8900	1.03271	0.02713	0.00000
9000	1.02809	0.02729	0.00000
9100	1.03042	0.02891	0.00000
9200	1.02651	0.02601	0.00000
9300	1.02691	0.02337	0.00000
9400	1.02472	0.02715	0.00000
9500	1.03046	0.02259	0.00000
9600	1.02630	0.02694	0.00000
9700	1.02302	0.03065	0.00000
9800	1.02518	0.02683	0.00000
9900	1.02364	0.02920	0.00000
10000	1.02057	0.03133	0.00000
10100	1.02486	0.03307	0.00000
10200	1.02397	0.03516	0.00000
10300	1.01891	0.04114	0.00000
10400	1.01952	0.04752	0.00000
10500	1.01602	0.04530	0.00000
10600	1.01236	0.05362	0.00000
10700	1.01748	0.05963	0.00000
10800	1.01116	0.06067	0.00000
10900	1.01464	0.06587	0.00000
11000	1.00824	0.06968	0.00000
11100	1.01087	0.08001	0.00000
11200	1.01027	0.07929	0.00000
11300	1.00862	0.08274	0.00000
11400	1.01346	0.08823	0.00000
11500	1.00566	0.09293	0.00000
11600	1.00685	0.09295	0.00000
11700	1.01092	0.09759	0.00000
11800	1.00456	0.09526	0.00000
11900	1.00670	0.10411	0.00000
12000	1.00789	0.09771	0.00000
12100	1.00782	0.09976	0.00000
12200	1.00645	0.10141	0.00000
12300	1.00481	0.09808	0.00000
12400	1.00522	0.09668	0.00000
12500	1.00625	0.09647	0.00000
12600	1.00802	0.09205	0.00000
12700	1.00399	0.08678	0.00000
12800	1.00955	0.08678	0.00000
12900	1.00800	0.07526	0.00000
13000	1.00330	0.07558	0.00000
13100	1.00300	0.06339	0.00000
13200	1.00554	0.05375	0.00000
13300	1.00573	0.04722	0.00000
13400	1.00558	0.03969	0.00000
13500	1.00374	0.02737	0.00000
13600	1.00875	0.02096	0.00000
13700	1.01193	0.01102	0.00000
13800	1.00593	0.00778	0.00000
13900	1.01318	-0.00331	0.00000
14000	1.01081	-0.01012	0.00000
14100	1.00902	-0.01625	0.00000
14200	1.01362	-0.02486	0.00000
14300	1.01242	-0.03081	0.00000
14400	1.01362	-0.03759	0.00000
14500	1.01515	-0.04115	0.00000
14600	1.01661	-0.04366	0.00000
14700	1.01700	-0.04533	0.00000
14800	1.01398	-0.04986	0.00000
14900	1.01886	-0.04738	0.00000
15000	1.02275	-0.04483	0.00000
15100	1.02005	-0.04459	0.00000
15200	1.02292	-0.03604	0.00000
15300	1.02444	-0.03113	0.00000
15400	1.02173	-0.02064	0.00000
15500	1.02186	-0.01017	0.00000
15600	1.02610	0.00020	0.00000
15700	1.02573	0.01624	0.00000
15800	1.02846	0.02720	0.00000
15900	1.03072	0.03946	0.00000
16000	1.02734	0.05658	0.00000
16100	1.02954	0.07773	0.00000
16200	1.02802	0.09093	0.00000
16300	1.03816	0.10748	0.00000
16400	1.02985	0.12488	0.00000
16500	1.04241	0.14413	0.00000
16600	1.03922	0.15992	0.00000
16700	1.04166	0.17677	0.00000
16800	1.04483	0.18724	0.00000
16900	1.04848	0.19922	0.00000
17000	1.05230	0.20868	0.00000
17100	1.05719	0.21458	0.00000
17200	1.06340	0.21868	0.00000
17300	1.07342	0.21333	0.00000
17400	1.07745	0.21376	0.00000
17500	1.08431	0.20461	0.00000
17600	1.08882	0.18960	0.00000
17700	1.10244	0.17409	0.00000
17800	1.10160	0.15650	0.00000
17900	1.12160	0.12726	0.00000
18000	1.12030	0.10404	0.00000
18100	1.12837	0.06663	0.00000
18200	1.13157	0.03770	0.00000
18300	1.14714	0.00050	0.00000
18400	1.15109	-0.03472	0.00000
18500	1.16698	-0.05858	0.00000
18600	1.17552	-0.10026	0.00000
18700	1.17536	-0.13019	0.00000
18800	1.18933	-0.15426	0.00000
18900	1.19934	-0.17514	0.00000
19000	1.21011	-0.17788	0.00000
19100	1.21987	-0.18112	0.00000
19200	1.22434	-0.17901	0.00000
19300	1.23059	-0.16072	0.00000
19400	1.24063	-0.13377	0.00000
19500	1.24374	-0.10519	0.00000
19600	1.23925	-0.06510	0.00000
19700	1.24483	-0.02355	0.00000
19800	1.24418	0.02218	0.00000
19900	1.24333	0.07156	0.00000
20000	1.24434	0.12276	0.00000
20100	1.24774	0.17152	0.00000
20200	1.24189	0.21696	0.00000
20300	1.24307	0.26070	0.00000
20400	1.25501	0.29029	0.00000
20500	1.25178	0.31725	0.00000
20600	1.25864	0.33248	0.00000
20700	1.26058	0.33925	0.00000
20800	1.27352	0.32806	0.00000
20900	1.27209	0.31758	0.00000
21000	1.27425	0.29263	0.00000
21100	1.27845	0.25261	0.00000
21200	1.27700	0.21104	0.00000
21300	1.27654	0.16201	0.00000
21400	1.27801	0.11081	0.00000
21500	1.28188	0.05274	0.00000
21600	1.27616	-0.01208	0.00000
21700	1.28725	-0.06158	0.00000
21800	1.28507	-0.11515	0.00000
21900	1.28833	-0.16232	0.00000
22000	1.29708	-0.20098	0.00000
22100	1.30171	-0.23321	0.00000
22200	1.30931	-0.25045	0.00000
22300	1.31409	-0.26349	0.00000
22400	1.31966	-0.25470	0.00000
22500	1.32821	-0.24366	0.00000
22600	1.32228	-0.21274	0.00000
22700	1.31803	-0.17189	0.00000
22800	1.31472	-0.12280	0.00000
22900	1.30999	-0.06693	0.00000
23000	1.30238	-0.00151	0.00000
23100	1.28800	0.06858	0.00000
23200	1.28669	0.14014	0.00000
23300	1.27939	0.20491	0.00000
23400	1.28011	0.26866	0.00000
23500	1.28181	0.33377	0.00000
23600	1.28590	0.38591	0.00000
23700	1.29331	0.43211	0.00000
23800	1.30693	0.45667	0.00000
23900	1.30822	0.47667	0.00000
24000	1.31306	0.47643	0.00000
24100	1.31862	0.45789	0.00000
24200	1.31991	0.42526	0.00000
24300	1.32370	0.37915	0.00000
24400	1.31997	0.32462	0.00000
24500	1.32228	0.25016	0.00000
24600	1.31444	0.17303	0.00000
24700	1.31007	0.08721	0.00000
24800	1.31334	-0.00166	0.00000
24900	1.31647	-0.09063	0.00000
25000	1.32377	-0.17330	0.00000
25100	1.33944	-0.25464	0.00000
25200	1.34759	-0.32352	0.00000
25300	1.36500	-0.37493	0.00000
25400	1.37897	-0.41370	0.00000
25500	1.38943	-0.43513	0.00000
25600	1.39963	-0.43390	0.00000
25700	1.40164	-0.41505	0.00000
25800	1.40439	-0.38534	0.00000
25900	1.40098	-0.33028	0.00000
26000	1.38954	-0.25792	0.00000
26100	1.36975	-0.18253	0.00000
26200	1.36090	-0.08831	0.00000
26300	1.34700	0.00921	0.00000
26400	1.34040	0.11067	0.00000
26500	1.32824	0.22457	0.00000
26600	1.32579	0.32617	0.00000
26700	1.32594	0.42136	0.00000
26800	1.34013	0.50309	0.00000
26900	1.35049	0.57561	0.00000
27000	1.35802	0.61820	0.00000
27100	1.37332	0.64513	0.00000
27200	1.38192	0.64732	0.00000
27300	1.38754	0.63306	0.00000
27400	1.38710	0.59357	0.00000
27500	1.38815	0.53594	0.00000
27600	1.38242	0.45832	0.00000
27700	1.37741	0.36654	0.00000
27800	1.37272	0.26271	0.00000
27900	1.36084	0.14552	0.00000
28000	1.35937	0.02960	0.00000
